Episode,Average Discounted Return,Standard Error
0,1,0
1,0.5,0.5
2,1,0
3,1,0
4,0.5,0.5
5,1,0
6,1,0
7,0.5,0.5
8,1,0
9,1,0
10,1,0
11,1,0
12,0,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,0.5,0.5
20,0.5,0.5
21,0.5,0.5
22,0.5,0.5
23,1,0
24,1,0
25,0.5,0.5
26,1,0
27,1,0
28,1,0
29,0.5,0.5
30,1,0
31,0.5,0.5
32,0.5,0.5
33,0.5,0.5
34,1,0
35,1,0
36,1,0
37,0.5,0.5
38,1,0
39,1,0
40,0.5,0.5
41,1,0
42,1,0
43,1,0
44,1,0
45,0.5,0.5
46,0.5,0.5
47,1,0
48,0.5,0.5
49,0.5,0.5
50,1,0
51,0.5,0.5
52,1,0
53,0.5,0.5
54,0.5,0.5
55,1,0
56,0,0
57,1,0
58,1,0
59,1,0
60,1,0
61,0.5,0.5
62,1,0
63,1,0
64,1,0
65,0.5,0.5
66,0.5,0.5
67,1,0
68,1,0
69,0,0
70,0.5,0.5
71,0.5,0.5
72,1,0
73,1,0
74,0.5,0.5
75,0.5,0.5
76,1,0
77,0.5,0.5
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,0,0
85,0.5,0.5
86,0.5,0.5
87,0.5,0.5
88,1,0
89,0.5,0.5
90,0.5,0.5
91,0.5,0.5
92,1,0
93,0.5,0.5
94,0.5,0.5
95,1,0
96,0.5,0.5
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,0.5,0.5
105,0.5,0.5
106,1,0
107,1,0
108,1,0
109,1,0
110,0.5,0.5
111,1,0
112,0,0
113,1,0
114,0.5,0.5
115,1,0
116,1,0
117,0.5,0.5
118,1,0
119,1,0
120,0.5,0.5
121,0,0
122,0.5,0.5
123,1,0
124,1,0
125,0.5,0.5
126,0.5,0.5
127,0.5,0.5
128,0,0
129,0.5,0.5
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,0.5,0.5
136,1,0
137,0.5,0.5
138,1,0
139,1,0
140,0.5,0.5
141,1,0
142,1,0
143,0,0
144,1,0
145,1,0
146,1,0
147,0.5,0.5
148,0.5,0.5
149,1,0
150,1,0
151,0.5,0.5
152,0.5,0.5
153,1,0
154,1,0
155,0,0
156,0.5,0.5
157,0.5,0.5
158,1,0
159,1,0
160,0.5,0.5
161,0.5,0.5
162,1,0
163,0.5,0.5
164,0.5,0.5
165,0,0
166,0.5,0.5
167,1,0
168,1,0
169,1,0
170,0.5,0.5
171,0.5,0.5
172,0.5,0.5
173,1,0
174,1,0
175,0.5,0.5
176,0.5,0.5
177,1,0
178,1,0
179,0.5,0.5
180,1,0
181,1,0
182,1,0
183,0.5,0.5
184,0.5,0.5
185,1,0
186,1,0
187,1,0
188,1,0
189,0.5,0.5
190,0.5,0.5
191,0,0
192,0.5,0.5
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,0.5,0.5
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,0,0
209,1,0
210,1,0
211,1,0
212,1,0
213,0.5,0.5
214,0.5,0.5
215,1,0
216,0.5,0.5
217,1,0
218,1,0
219,0.5,0.5
220,1,0
221,1,0
222,0.5,0.5
223,0,0
224,0.5,0.5
225,0.5,0.5
226,1,0
227,1,0
228,0.5,0.5
229,1,0
230,0.5,0.5
231,0.5,0.5
232,0,0
233,1,0
234,0.5,0.5
235,0.5,0.5
236,1,0
237,1,0
238,1,0
239,0.5,0.5
240,1,0
241,1,0
242,1,0
243,0.5,0.5
244,0.5,0.5
245,0.5,0.5
246,1,0
247,0.5,0.5
248,1,0
