Episode,Average Discounted Return,Standard Error
4,-96,0
9,-96,0
14,-96,0
19,-96,0
24,-96,0
29,-96,0
34,-96,0
39,-96,0
44,-96,0
49,-96,0
54,-96,0
59,-96,0
64,-96,0
69,-96,0
74,-96,0
79,-96,0
84,-96,0
89,-96,0
94,-96,0
99,-96,0
104,-96,0
109,-96,0
114,-96,0
119,-96,0
124,-96,0
129,-96,0
134,-96,0
139,-96,0
144,-96,0
149,-96,0
154,-96,0
159,-96,0
164,-96,0
169,-96,0
174,-96,0
179,-96,0
184,-96,0
189,-96,0
194,-96,0
199,-96,0
204,-96,0
209,-96,0
214,-96,0
219,-96,0
224,-96,0
229,-96,0
234,-96,0
239,-96,0
244,-96,0
249,-96,0
254,-96,0
259,-96,0
264,-96,0
269,-96,0
274,-96,0
279,-96,0
284,-96,0
289,-96,0
294,-96,0
299,-96,0
304,-96,0
309,-96,0
314,-96,0
319,-96,0
324,-96,0
329,-96,0
334,-96,0
339,-96,0
344,-96,0
349,-96,0
354,-96,0
359,-96,0
364,-96,0
369,-96,0
374,-96,0
379,-96,0
384,-96,0
389,-96,0
394,-96,0
399,-96,0
404,-96,0
409,-96,0
414,-96,0
419,-96,0
424,-96,0
429,-96,0
434,-96,0
439,-96,0
444,-96,0
449,-96,0
454,-96,0
459,-96,0
464,-96,0
469,-96,0
474,-96,0
479,-96,0
484,-96,0
489,-96,0
494,-96,0
499,-96,0
504,-96,0
509,-96,0
514,-96,0
519,-96,0
524,-96,0
529,-96,0
534,-96,0
539,-96,0
544,-96,0
549,-96,0
554,-96,0
559,-96,0
564,-96,0
569,-96,0
574,-96,0
579,-96,0
584,-96,0
589,-96,0
594,-96,0
599,-96,0
604,-96,0
609,-96,0
614,-96,0
619,-96,0
624,-96,0
629,-96,0
634,-96,0
639,-96,0
644,-96,0
649,-96,0
654,-96,0
659,-96,0
664,-96,0
669,-96,0
674,-96,0
679,-96,0
684,-96,0
689,-96,0
694,-96,0
699,-96,0
704,-96,0
709,-96,0
714,-96,0
719,-96,0
724,-96,0
729,-96,0
734,-96,0
739,-96,0
744,-96,0
749,-96,0
754,-96,0
759,-96,0
764,-96,0
769,-96,0
774,-96,0
779,-96,0
784,-96,0
789,-96,0
794,-96,0
799,-96,0
804,-96,0
809,-96,0
814,-96,0
819,-96,0
824,-96,0
829,-96,0
834,-96,0
839,-96,0
844,-96,0
849,-96,0
854,-96,0
859,-96,0
864,-96,0
869,-96,0
874,-96,0
879,-96,0
884,-96,0
889,-96,0
894,-96,0
899,-96,0
904,-96,0
909,-96,0
914,-96,0
919,-96,0
924,-96,0
929,-96,0
934,-96,0
939,-96,0
944,-96,0
949,-96,0
954,-96,0
959,-96,0
964,-96,0
969,-96,0
974,-96,0
979,-96,0
984,-96,0
989,-96,0
994,-96,0
999,-96,0
