Episode,Average Discounted Return,Standard Error
4,-108.14,2.12004
9,-108.02,1.69443
14,-112.66,2.31299
19,-109.37,2.30444
24,-107.58,1.75546
29,-107.27,1.61913
34,-106.73,1.65333
39,-108.87,2.2195
44,-109.28,1.69277
49,-110.01,1.84695
54,-106.36,1.90064
59,-108.36,1.78781
64,-110.9,2.36393
69,-108.28,1.86862
74,-106.85,1.86376
79,-110.74,1.95426
84,-107.67,2.052
89,-111.51,2.27904
94,-108.63,1.84011
99,-109.78,1.79902
104,-108.53,2.01627
109,-108.13,2.12021
114,-110.81,1.97983
119,-110.41,2.30932
124,-108.79,1.79333
129,-107.42,2.14095
134,-108.19,2.05164
139,-112.27,2.45665
144,-109.3,2.36389
149,-107.89,1.81608
154,-108.36,1.89819
159,-109.01,2.08111
164,-108.71,2.06707
169,-108.56,1.91867
174,-106.06,1.8047
179,-109.96,2.18128
184,-112.35,2.35223
189,-107.13,1.69549
194,-106.01,1.88912
199,-106.67,1.70839
204,-108.98,1.77588
209,-109.19,2.28657
214,-111.29,2.03447
219,-108.37,1.7872
224,-105.09,1.77867
229,-108.55,2.14788
234,-111.12,1.9358
239,-109.59,1.86315
244,-111.18,2.37608
249,-111.43,2.23481
254,-108.41,1.64569
259,-111.41,2.06001
264,-106.09,1.82414
269,-110.14,2.10445
274,-108.11,2.10449
279,-104.99,1.85088
284,-104.97,1.64841
289,-103.95,2.08547
294,-109.36,1.96199
299,-107.78,2.16457
304,-106.25,1.84732
309,-108.34,1.91228
314,-106.33,1.74975
319,-109.41,2.06286
324,-108.66,2.16058
329,-111.01,2.03294
334,-105.7,1.82737
339,-108.18,1.76053
344,-107.98,1.98677
349,-109.46,2.21471
354,-107.85,1.89904
359,-112.15,1.95192
364,-107.81,1.73582
369,-109.09,1.99637
374,-111.47,2.16993
379,-112.6,1.99818
384,-110.38,1.8863
389,-107.87,2.15194
394,-110.66,2.11532
399,-108.52,2.12847
404,-107.03,1.71025
409,-108.37,1.84345
414,-108.25,2.13141
419,-102.82,1.45965
424,-111.16,2.04049
429,-107.94,2.12231
434,-105.1,1.71697
439,-111.56,2.18153
444,-110.08,1.97529
449,-107.32,1.90517
454,-108.13,1.84969
459,-108.79,1.8985
464,-107.98,1.82906
469,-105.77,2.13721
474,-108.37,1.8998
479,-105.64,1.64443
484,-109.42,1.83519
489,-109.13,1.87787
494,-103.54,1.74977
499,-108.2,2.09014
504,-107.08,1.75837
509,-109.33,1.9128
514,-109,1.95639
519,-109.76,2.08957
524,-108.31,1.759
529,-107.89,1.78941
534,-110.24,1.94319
539,-107.79,2.12975
544,-111.55,2.24006
549,-109.43,1.85909
554,-112.81,2.29451
559,-107.78,2.13497
564,-109.38,2.03399
569,-108.12,1.81338
574,-109.66,2.20253
579,-108.51,2.0107
584,-105.88,1.80836
589,-112.06,2.46928
594,-106.59,1.77423
599,-110.67,1.91755
604,-105.82,2.05748
609,-109.41,2.19301
614,-107.28,1.86937
619,-111.86,2.18969
624,-109.55,2.03442
629,-108.88,1.94143
634,-107.14,1.76618
639,-107.94,1.95881
644,-110.57,2.3821
649,-108.55,2.08827
654,-106.58,1.81793
659,-111.8,2.25285
664,-111.34,2.05093
669,-107.65,1.69809
674,-108.55,2.26312
679,-107.99,1.78294
684,-111.11,2.12265
689,-107.93,1.82365
694,-106.26,1.75128
699,-105.55,1.59718
704,-109.69,1.97953
709,-109.74,2.08364
714,-110.29,2.09932
719,-107.49,1.70824
724,-106.36,1.8044
729,-109.87,2.03016
734,-109.45,1.94013
739,-107.76,1.99849
744,-106.93,2.12271
749,-106.55,1.5968
754,-108.72,1.80387
759,-106.45,1.99673
764,-106.66,1.88964
769,-109.92,2.0075
774,-109.38,1.86655
779,-108.27,1.78596
784,-106.15,1.83591
789,-107.99,2.2259
794,-109.08,1.864
799,-109.11,2.00085
804,-110.92,2.33713
809,-108.1,2.00683
814,-109.24,2.1103
819,-106.71,1.85697
824,-109.53,2.14502
829,-107.88,1.94491
834,-107.02,1.80454
839,-106.91,1.77178
844,-108.12,2.02017
849,-110.43,1.84063
854,-107.84,1.98284
859,-109.46,1.86295
864,-107.01,1.86073
869,-105.16,1.74198
874,-111.74,2.07912
879,-105.91,1.82779
884,-112.48,2.16685
889,-109.96,1.98519
894,-111.23,2.19714
899,-109.48,2.23966
904,-110.71,2.05506
909,-110.49,2.03348
914,-106.54,2.10394
919,-111.39,1.85532
924,-109.6,2.31425
929,-106.45,2.02342
934,-105.81,1.49489
939,-107.77,1.95938
944,-109.5,2.10245
949,-105.99,2.31571
954,-109.41,2.21451
959,-110.05,1.99946
964,-107.61,1.65071
969,-107.92,2.48692
974,-113.51,2.50605
979,-109.37,1.91774
984,-109.85,2.10911
989,-106.48,1.54779
994,-108.48,2.27096
999,-108.52,1.95895
