Episode,Average Discounted Return,Standard Error
4,-108.52,1.67986
9,-110.45,2.03864
14,-110.22,2.06904
19,-111.67,2.20848
24,-109.25,2.11934
29,-104.97,1.97977
34,-110.98,2.09646
39,-110.71,2.14407
44,-109.37,2.20434
49,-107.68,2.13508
54,-108.54,2.11657
59,-109.41,1.92722
64,-109.88,2.0045
69,-108.03,2.20548
74,-108.08,1.90691
79,-106.24,2.06501
84,-109.56,2.0369
89,-105.67,1.68049
94,-107.26,1.51974
99,-104.67,1.84386
104,-110.91,1.90301
109,-105.75,1.70734
114,-110.47,2.12148
119,-109.65,1.94788
124,-108.28,2.07253
129,-108.29,2.1843
134,-105.18,1.65721
139,-107.73,1.91543
144,-110.02,2.03226
149,-107.34,1.6525
154,-107.64,2.18116
159,-113.23,2.20499
164,-111.42,2.37147
169,-107.69,1.95178
174,-106.04,1.80437
179,-110.27,2.29808
184,-107.86,1.83551
189,-111.37,2.0383
194,-104.9,1.75652
199,-105.18,1.63648
204,-111.83,2.15669
209,-110.6,2.08922
214,-109.28,1.96063
219,-105.32,1.88652
224,-108.77,2.34382
229,-107.09,1.96346
234,-109.63,2.21527
239,-108.31,1.89565
244,-107.93,1.9334
249,-107.47,1.77846
254,-109.92,2.09852
259,-107.95,2.17657
264,-108.25,1.93273
269,-107.36,1.68652
274,-106.32,1.99357
279,-108.08,1.92058
284,-109.63,1.79706
289,-111.87,2.29504
294,-107.75,2.20025
299,-110.07,2.07915
304,-112.06,2.15378
309,-106.67,1.81175
314,-108.98,1.94526
319,-114.48,2.58079
324,-106.53,1.86051
329,-108.36,2.16167
334,-111.9,2.23514
339,-110.02,2.15875
344,-110.92,2.21125
349,-107.93,1.91497
354,-106.58,1.82785
359,-108.93,2.14114
364,-108.82,2.07897
369,-109.63,2.17756
374,-107.28,1.9301
379,-109.83,1.97796
384,-108.72,1.67501
389,-108.83,2.07077
394,-110.86,2.10425
399,-106.95,1.88869
404,-113.22,2.14898
409,-112.52,2.4422
414,-107.12,1.93648
419,-105.67,1.76166
424,-110.89,2.37159
429,-113.05,2.30372
434,-107.77,1.71658
439,-108.43,1.83332
444,-109.13,1.7754
449,-109.49,2.24263
454,-109.77,2.10309
459,-111.6,2.12826
464,-108.74,2.0087
469,-108.79,1.9045
474,-108.31,2.01693
479,-108.43,1.68411
484,-110.31,2.01378
489,-111.49,2.04488
494,-108.79,2.37505
499,-105.5,1.76615
504,-107.71,2.16619
509,-111.79,1.90678
514,-110.38,2.1143
519,-108.26,1.84597
524,-108.52,1.75996
529,-107.81,2.10846
534,-105.63,1.97186
539,-110.32,1.95665
544,-107.91,1.71559
549,-109.2,2.01429
554,-109.06,2.06176
559,-108.43,2.00672
564,-107.91,1.81776
569,-108.86,2.22942
574,-107.44,1.72769
579,-111.91,2.18355
584,-107.87,1.92074
589,-108.63,1.85688
594,-108.44,1.95662
599,-108.84,1.99604
604,-108.06,2.05534
609,-108.28,1.66176
614,-107.15,1.87683
619,-107.35,1.80277
624,-104.8,1.74165
629,-108.64,2.33145
634,-108.59,2.14302
639,-108.42,1.77503
644,-109.25,2.23627
649,-105.18,1.62502
654,-114.27,2.42736
659,-110.92,2.04464
664,-107.62,1.62504
669,-111.15,2.04512
674,-108.97,1.96183
679,-106.52,1.93498
684,-106.89,1.81614
689,-109.73,2.09828
694,-105.09,1.80919
699,-107.71,1.85332
704,-108.07,2.05884
709,-109.06,1.87033
714,-108.77,2.40621
719,-111.31,2.09114
724,-111.24,2.22062
729,-109.15,1.96589
734,-106.48,1.88082
739,-108.56,1.87839
744,-107.28,1.78122
749,-108.52,2.00663
754,-104.46,1.63882
759,-108.71,1.77521
764,-111.18,2.15877
769,-109.74,1.8714
774,-108.58,1.8737
779,-108.86,2.05991
784,-111.51,1.84957
789,-111.97,2.02761
794,-110.84,1.94317
799,-113.02,2.35779
804,-110.39,2.18604
809,-110.24,1.90667
814,-111.93,2.24838
819,-108.68,2.10108
824,-109.95,2.06893
829,-108.35,1.90005
834,-117.01,2.5913
839,-109.12,1.81672
844,-109.53,2.1128
849,-106.69,1.90834
854,-109.1,2.13028
859,-106.56,1.80467
864,-107.24,1.78406
869,-111.29,2.07692
874,-106.22,1.69697
879,-112.27,2.13645
884,-109.58,1.91455
889,-112.01,2.27598
894,-108.37,2.09466
899,-108.99,2.17852
904,-108.24,1.67284
909,-111.8,2.21286
914,-106.86,2.28124
919,-108.3,2.12658
924,-112.3,2.7602
929,-106.55,1.66396
934,-108.52,2.11065
939,-107.14,2.0055
944,-110.39,2.00856
949,-111.96,2.45114
954,-107.69,1.79408
959,-107.84,1.81452
964,-107.69,1.52161
969,-107.39,1.82457
974,-106.03,1.70291
979,-109.5,2.22045
984,-111.3,2.1049
989,-110.19,2.2767
994,-107.17,2.01975
999,-107.67,1.77178
