Episode,Average Discounted Return,Standard Error
4,12.86,0.899609
9,12.71,0.860502
14,13.13,0.861014
19,15.05,1.57303
24,26.27,3.53901
29,45.1,6.57334
34,79.34,9.42719
39,128.67,12.464
44,211.57,24.155
49,286.69,26.3642
54,403.4,31.5794
59,489.69,32.0658
64,609.94,33.1852
69,702.92,32.2504
74,776.35,28.9589
79,838.84,26.3409
84,884.17,21.8759
89,931.89,16.424
94,955,12.4865
99,971.41,11.5854
104,984.02,6.10395
109,990.86,4.93726
114,993.66,2.418
119,998.04,0.877199
124,999.67,0.301195
129,998.55,0.86496
134,997.92,1.04878
139,997.76,1.57904
144,998.77,0.819812
149,999.56,0.299939
154,998.47,1.09935
159,999.36,0.461119
164,998.26,0.787993
169,998.64,0.772445
174,998.96,0.539719
179,998.48,1.09374
184,999.3,0.448679
189,998.63,0.820896
194,997.23,1.79195
199,1000,0
204,998.87,0.947794
209,999.86,0.14
214,999.24,0.494029
219,999.25,0.616994
224,1000,0
229,998.28,0.961594
234,999.67,0.301195
239,998.98,0.624254
244,998.78,1.13267
249,999.01,0.703885
254,999.23,0.77
259,999.98,0.02
264,999.75,0.205665
269,999.7,0.212964
274,999.02,0.691504
279,998.24,1.76
284,999.8,0.2
289,999.8,0.122268
294,999.55,0.292801
299,999.79,0.21
304,1000,0
309,999.77,0.23
314,999.91,0.0668105
319,999.79,0.21
324,999.74,0.26
329,999.73,0.27
334,999.93,0.07
339,999.2,0.8
344,999.72,0.28
349,998.92,0.694085
354,999.73,0.27
359,998.78,0.864167
364,999.88,0.12
369,998.87,0.701896
374,999.34,0.472094
379,999.62,0.38
384,999.22,0.731206
389,999.94,0.06
394,999.29,0.571246
399,999.99,0.01
404,999.34,0.481626
409,1000,0
414,999.02,0.725994
419,1000,0
424,999.53,0.375366
429,999.93,0.0536637
434,999.96,0.04
439,999.52,0.48
444,1000,0
449,999.24,0.453966
454,1000,0
459,999.67,0.33
464,999.96,0.04
469,999.3,0.474075
474,999.74,0.26
479,999.62,0.272208
484,1000,0
489,999.66,0.34
494,999.29,0.600891
499,998.3,1.30085
