Episode,Average Discounted Return,Standard Error
4,209.5,15.3163
9,206.09,14.3568
14,225.99,16.0007
19,236.75,16.0678
24,227.67,13.2787
29,218.93,15.5201
34,202.84,11.7224
39,238.4,16.6521
44,243.94,16.6333
49,243.47,15.2402
54,250.1,14.8086
59,281.1,17.6664
64,285.21,19.3322
69,272.78,18.4004
74,325.77,19.4857
79,333.11,24.9344
84,360.93,22.522
89,306.95,20.9157
94,380.31,21.9604
99,413.62,25.5033
104,402.53,23.263
109,405.14,25.4215
114,410.03,25.4135
119,425.87,28.1146
124,467.51,27.4378
129,419.71,23.046
134,429.13,26.6873
139,452.55,23.471
144,443.14,27.662
149,401.63,25.8278
154,454.98,27.0351
159,403.99,26.5261
164,418.56,26.8639
169,416.84,25.0762
174,408.02,27.1024
179,463.03,27.261
184,447.77,25.5406
189,440.82,26.9619
194,423.29,25.4707
199,425.94,25.6503
204,438.13,26.292
209,364.12,25.7107
214,412.6,27.6833
219,419.38,25.908
224,421.28,27.5165
229,405.54,27.4883
234,448.67,24.9857
239,440.36,26.6459
244,401.07,26.8034
249,410.3,27.8454
254,345.55,23.9717
259,419.43,27.0792
264,382.67,25.9449
269,453.97,27.1765
274,391.17,24.6526
279,394.16,26.3647
284,409.71,27.7767
289,452.21,27.3631
294,421.44,26.7406
299,421.81,26.1597
304,437.11,28.7439
309,405.07,27.4809
314,359.58,24.3954
319,424.3,26.2213
324,421.77,26.5624
329,445.82,25.9296
334,421.39,28.9808
339,428.14,25.6613
344,398.93,27.3047
349,439.85,26.7493
354,426.68,30.0211
359,456.4,26.1773
364,377.05,28.0388
369,381.18,28.1744
374,394.08,28.1772
379,370.44,26.5248
384,411.02,28.8959
389,423.02,28.8738
394,385.57,30.1496
399,454.36,29.9996
404,391.63,28.1782
409,419.1,28.2476
414,395.02,29.8307
419,427.02,27.6248
424,405.89,30.1641
429,417,29.4696
434,460.14,30.9685
439,448.5,28.6794
444,424.05,27.2421
449,389.21,28.4914
454,436.82,27.511
459,416.27,28.9381
464,397,27.3527
469,419.07,27.865
474,386.59,26.0525
479,469.19,30.7544
484,444.2,33.1641
489,456.4,30.1243
494,484.5,32.7735
499,472.18,30.5545
