Episode,Average Discounted Return,Standard Error
4,86.64,12.6124
9,139.77,19.4342
14,173.66,22.5337
19,147.48,16.4802
24,167.33,20.0444
29,209.06,21.3994
34,194.07,20.9389
39,190.38,20.089
44,215.78,21.9076
49,234.29,23.6563
54,232.31,24.1137
59,257.91,25.2613
64,244.46,21.6386
69,294.64,28.7804
74,239.32,20.5194
79,262.52,26.2601
84,281.7,24.5449
89,287.47,24.3341
94,248.68,22.0303
99,274.31,23.2526
104,242.68,21.8083
109,259.02,24.9978
114,239.99,22.2952
119,314.54,26.0608
124,281.91,23.0277
129,281.86,24.3333
134,259.87,24.5293
139,295.38,25.4189
144,299.83,27.2221
149,291.41,22.3774
154,295.71,26.0905
159,327.93,27.2096
164,295.07,25.6637
169,360.16,29.0223
174,297.69,27.2141
179,347.42,28.822
184,310.35,27.7329
189,352.43,28.6552
194,317.16,26.9653
199,345.69,29.5584
204,320.29,28.8402
209,303.54,29.3149
214,369.71,31.7519
219,298.9,25.8888
224,314,29.4803
229,350.48,30.168
234,336.93,28.2423
239,364.61,33.4577
244,332.57,28.6932
249,324.96,29.7577
254,335.72,29.3241
259,316.91,26.6685
264,279.71,29.3329
269,334.36,30.0066
274,290.14,29.0302
279,261.06,25.9486
284,317.33,27.4054
289,355.04,31.271
294,331.06,29.0887
299,342.07,31.0392
304,308.07,28.5309
309,291.22,29.9084
314,313.47,29.2435
319,300.3,28.1985
324,404.48,34.1619
329,324.4,32.4845
334,288.04,27.9639
339,360.56,33.3052
344,334.55,32.9529
349,346.79,33.8253
354,333.92,30.6845
359,289.49,27.1957
364,327.84,30.0951
369,305.71,28.466
374,309.16,30.199
379,317.13,29.2465
384,304.79,29.8708
389,351.43,32.5054
394,294.78,27.9902
399,264.55,27.3094
404,280.76,29.5026
409,350.32,31.956
414,253.54,26.9101
419,316.39,29.9567
424,301.04,29.7001
429,221.24,26.6979
434,314.72,32.4784
439,332.21,32.2321
444,302.61,31.4491
449,360.94,33.5846
454,281.73,31.7134
459,267.34,26.768
464,328.74,31.4382
469,318.06,32.2643
474,328.98,31.1963
479,260.96,29.1536
484,360.53,33.5425
489,331.73,34.3761
494,260.4,27.4774
499,294.18,29.4651
