Episode,Average Discounted Return,Standard Error
4,-6213.64,529.539
9,-3244.08,324.417
14,-1745.91,102.605
19,-1541.38,88.0076
24,-1369.33,88.9888
29,-1114.49,66.5377
34,-1025.37,53.099
39,-1085.19,198.237
44,-863.83,40.3365
49,-757.29,28.7655
54,-730.21,32.7895
59,-714.06,40.3247
64,-634.54,26.2605
69,-614.6,23.6889
74,-573.7,20.0937
79,-553.3,30.0796
84,-551.05,18.3522
89,-513,16.5348
94,-495.73,16.3732
99,-476.84,15.8044
104,-447.84,14.146
109,-423.52,13.6828
114,-415.14,11.1615
119,-426.42,13.0169
124,-401.89,11.1512
129,-369.73,10.2594
134,-376.62,10.9467
139,-373.66,10.6931
144,-361.34,10.1954
149,-356.4,9.57586
154,-355.49,10.0763
159,-339.54,8.55756
164,-326.46,7.59563
169,-322.02,7.02617
174,-309.9,6.9921
179,-316.04,7.71959
184,-310.73,7.18362
189,-311.59,7.13435
194,-294.37,6.32706
199,-296.29,5.78586
204,-285.01,6.30003
209,-295.22,7.34217
214,-288.36,7.17871
219,-275.09,5.9121
224,-275.45,6.16981
229,-272.41,5.89199
234,-262.61,5.5939
239,-263.21,6.44094
244,-262.26,5.32516
249,-265.99,6.06541
254,-249.14,5.36197
259,-251.78,4.9804
264,-247.74,5.23281
269,-247.51,5.40087
274,-243.19,4.95086
279,-247.33,5.37162
284,-242.96,5.96669
289,-233.85,5.30769
294,-235.63,5.13907
299,-235.08,5.29688
304,-225.25,4.48103
309,-231.83,5.04969
314,-225.95,4.93529
319,-226.25,4.79704
324,-222.72,4.97848
329,-225.91,5.55191
334,-218.81,4.45359
339,-216.94,4.5958
344,-214.94,4.19528
349,-214.79,4.37295
354,-215.8,4.17554
359,-211.08,3.86276
364,-212.97,4.11475
369,-211.5,3.79749
374,-210.75,4.13762
379,-212.72,4.56068
384,-207.29,3.74002
389,-202.04,3.42864
394,-203.41,3.49644
399,-201.55,3.07296
404,-211.27,4.08967
409,-203.9,3.88703
414,-199.91,3.54244
419,-202.53,3.65202
424,-207.75,3.96572
429,-198.62,3.56225
434,-201.28,3.24221
439,-193.79,2.6943
444,-199.02,3.2149
449,-200.35,3.74952
454,-192.69,2.93835
459,-195.29,3.00189
464,-194.62,2.86356
469,-196.55,3.21582
474,-196.55,3.25881
479,-194.18,2.84187
484,-191.6,2.76076
489,-193.25,2.71581
494,-192.81,3.06985
499,-191.41,2.76727
504,-194.57,3.15906
509,-190.82,2.75294
514,-189.24,2.60598
519,-189.23,2.55469
524,-188.94,2.64059
529,-188.21,2.78808
534,-189.19,2.82198
539,-192.73,3.25247
544,-184.5,2.42235
549,-183.54,2.33992
554,-191.75,2.50887
559,-193.06,3.4834
564,-188.84,2.6963
569,-188.92,2.86933
574,-188.48,3.03656
579,-185.74,2.11992
584,-185.55,2.69295
589,-189.85,2.85538
594,-186.82,2.91417
599,-188.45,2.88232
604,-187.32,2.76781
609,-187.33,3.21238
614,-186.11,2.71832
619,-192.27,3.17474
624,-186.92,2.67464
629,-183.2,2.8842
634,-181.39,2.53839
639,-181.6,3.16659
644,-184.36,2.84046
649,-184.23,3.01149
654,-182.35,3.08051
659,-178.25,2.75029
664,-183.94,2.90829
669,-177.84,2.4973
674,-183.91,2.59047
679,-180.25,2.70291
684,-185.22,2.99348
689,-180.76,2.62594
694,-180.35,2.81315
699,-178.61,2.80504
704,-179.36,2.75191
709,-176.03,2.89365
714,-180.15,2.57154
719,-180.8,2.87852
724,-174.65,2.73627
729,-175.4,2.87209
734,-178.23,2.58245
739,-173.41,2.66936
744,-173.05,2.30289
749,-179.4,2.98125
754,-179.72,3.20719
759,-176.81,2.91415
764,-177.23,3.12513
769,-169.1,2.65081
774,-173.65,2.95438
779,-172.88,2.55324
784,-175.65,2.73209
789,-173.13,2.68632
794,-175.92,2.78617
799,-173.75,2.6413
804,-168.9,2.31353
809,-172.61,2.88426
814,-173.4,2.88315
819,-173.56,2.74448
824,-167.88,2.63919
829,-169.77,2.71628
834,-170.03,3.04214
839,-170.59,2.76366
844,-168.8,2.59191
849,-169.7,2.69457
854,-172.31,2.64624
859,-168.67,2.53242
864,-164.63,2.41664
869,-168.13,2.74059
874,-170.45,2.88382
879,-169.03,2.73017
884,-165.1,2.48562
889,-164.67,2.56121
894,-166.97,2.68868
899,-169.9,3.06164
904,-165.63,2.38046
909,-168.66,2.71963
914,-167.32,2.79151
919,-163.54,2.79322
924,-164.17,2.47876
929,-164.18,2.54155
934,-164.64,2.64023
939,-171.11,3.03311
944,-173.11,3.19194
949,-164.81,2.23899
954,-164.16,2.59976
959,-168.46,2.86312
964,-162.33,2.7303
969,-166.68,2.69635
974,-167.62,2.85533
979,-166.55,2.64172
984,-163.71,2.75931
989,-166.29,3.22068
994,-164.71,2.71993
999,-162.98,2.60582
1004,-164.48,2.6213
1009,-160.58,2.31888
1014,-161.87,2.68857
1019,-164.12,2.81878
1024,-161.55,2.56359
1029,-161.09,2.43448
1034,-161,2.54443
1039,-160.75,2.24389
1044,-158.24,2.45098
1049,-161.12,2.04541
1054,-161.98,2.80061
1059,-152.43,2.0419
1064,-159.68,2.89932
1069,-160.18,2.34117
1074,-162.66,2.73245
1079,-159.29,2.3893
1084,-162.39,2.89789
1089,-155.97,2.11844
1094,-161.55,2.42189
1099,-155.32,2.09018
1104,-157.27,2.5832
1109,-155.09,1.94106
1114,-159.92,2.74817
1119,-159.39,2.61831
1124,-162.49,2.63072
1129,-157.4,2.41653
