Episode,Average Discounted Return,Standard Error
4,-3528.31,147.505
9,-2094.1,78.8821
14,-1717.95,64.705
19,-1418.11,61.4447
24,-1225.67,43.1538
29,-1004.65,39.558
34,-859.8,32.1519
39,-778.69,29.4413
44,-683.31,26.0017
49,-609.8,23.6319
54,-530.47,21.8994
59,-504.07,21.9231
64,-434.65,18.2286
69,-390.55,15.5864
74,-376.87,15.8336
79,-315.66,11.9061
84,-295.13,8.86393
89,-272.36,8.37188
94,-273.16,8.87981
99,-250.73,7.98045
104,-234.87,6.09879
109,-228.17,6.29712
114,-241.18,7.38149
119,-231.49,6.50986
124,-225.2,5.59294
129,-228.69,6.10884
134,-240.44,7.13347
139,-235.44,5.54661
144,-222.54,6.05966
149,-229.83,6.11042
154,-228.51,5.85571
159,-227.93,5.77688
164,-238.63,6.51982
169,-243.76,6.54421
174,-245.42,6.69546
179,-232.23,5.48715
184,-243.69,7.11906
189,-249.42,7.13511
194,-235.35,6.10635
199,-240.46,5.62845
204,-251.74,7.33508
209,-247.54,6.65327
214,-235.6,5.44228
219,-245.12,6.24102
224,-243.9,5.91549
229,-250.1,6.21132
234,-243.76,5.97515
239,-261.99,8.41438
244,-255.01,7.09731
249,-252.81,6.16945
254,-261.12,6.86648
259,-250.09,5.87696
264,-260.24,6.62357
269,-260.44,6.9679
274,-275.19,7.24825
279,-263.35,5.88227
284,-270.56,6.91187
289,-275.82,7.105
294,-272.99,6.84928
299,-271.92,6.77128
304,-287.08,7.92316
309,-269.76,7.02515
314,-274.93,7.12082
319,-269.33,5.89871
324,-278.98,6.73321
329,-278.83,5.78998
334,-271.36,5.60032
339,-280.04,6.36339
344,-286.41,7.53288
349,-273.89,6.24315
354,-266.1,5.89068
359,-254.68,4.90652
364,-277.12,6.70306
369,-260.03,5.44937
374,-252.1,4.57639
379,-262.49,6.10406
384,-259.09,4.75771
389,-254.89,5.01827
394,-255.47,5.92051
399,-259.59,6.47957
404,-258.02,7.06406
409,-245.13,5.59274
414,-244.49,5.33474
