Episode,Average Discounted Return,Standard Error
4,-9057.97,476.771
9,-8077.79,453.887
14,-7135.03,389.686
19,-5713.86,318.981
24,-5049.95,231.736
29,-4552.73,190.564
34,-4348.9,208.383
39,-3819.69,173.298
44,-3537.5,177.177
49,-3305.6,154.234
54,-3182.26,167.641
59,-3087.93,149.707
64,-2873.14,164.623
69,-2679.55,109.348
74,-2757.1,109.598
79,-2510.45,103.804
84,-2364.2,86.1775
89,-2454.61,100.266
94,-2098.98,83.3935
99,-2060.34,85.7969
104,-1909.48,61.868
109,-1887.41,64.5724
114,-1824.77,65.4307
119,-1797.74,65.1036
124,-1656.85,52.6669
129,-1704.31,69.0093
134,-1670.22,60.0941
139,-1610.13,66.7237
144,-1510.69,48.6163
149,-1493.54,47.2401
154,-1588.08,54.0636
159,-1381.47,38.2402
164,-1415.59,45.8441
169,-1453.52,48.8861
174,-1363.33,49.319
179,-1370.02,58.4809
184,-1257.64,49.6945
189,-1259.31,43.0169
194,-1196.37,37.5533
199,-1195.72,49.5968
204,-1098.73,31.9805
209,-1195.23,43.1272
214,-1109.41,37.109
219,-1067.98,31.9213
224,-1125.67,34.0747
229,-1044.67,42.3513
234,-1013.28,32.9069
239,-1060.42,35.5763
244,-942.5,33.1816
249,-979.53,32.0449
254,-988.98,32.9957
259,-988.52,30.8713
264,-994.32,37.8346
269,-946.09,35.1015
274,-837.23,24.5414
279,-856.5,28.7999
284,-991.97,40.5143
289,-843.64,31.8267
294,-923.66,33.6118
299,-843.94,29.2358
304,-787.84,28.9101
309,-792.43,31.499
314,-820.99,28.0367
319,-776.57,27.496
324,-807.73,33.3634
329,-795.96,28.2178
334,-761.88,30.0981
339,-723.97,24.8402
344,-684.18,26.0002
349,-660.01,27.7112
354,-684.15,27.2301
359,-715.56,25.7689
364,-694.11,28.2626
369,-627.04,24.4193
374,-660.3,27.1142
379,-644.07,27.5849
384,-661.43,24.6611
389,-646.7,30.4731
394,-672.08,31.5923
399,-615.6,26.2085
404,-596.46,26.3441
409,-566.47,26.2461
414,-604.25,24.2322
419,-665.5,30.0649
424,-589.77,26.7632
429,-579.77,28.7887
434,-581.31,26.8122
439,-519.97,24.1173
444,-560.76,25.9213
449,-500.42,20.0953
454,-537.87,27.4066
459,-536.69,28.1019
464,-504.49,23.6791
469,-530.62,24.4658
474,-499.37,25.0979
479,-508.87,23.365
484,-478.56,22.5527
489,-429,19.5582
494,-477.71,22.8161
499,-488.63,24.2295
504,-455.31,22.5365
509,-452.64,19.7632
514,-406.89,17.3054
519,-417.12,17.1783
524,-417.08,19.0579
529,-399.65,16.6377
534,-375.21,14.4807
539,-396.01,15.8283
544,-348.02,11.4505
549,-379.54,17.0835
554,-354.52,11.9597
559,-364.57,14.772
564,-349.38,12.4876
569,-317.1,9.95509
574,-349.84,12.0895
579,-333.29,11.3927
584,-338.03,13.9775
589,-319.5,9.72574
594,-315.57,10.8962
599,-310.06,9.59783
604,-297.32,10.0633
609,-288.13,10.5358
614,-298.41,9.85998
619,-311.01,11.5652
624,-278.04,9.7236
629,-293.95,8.60376
634,-287.28,8.06792
639,-279.21,8.26069
644,-276.04,7.42798
649,-261.71,8.55581
654,-268.83,6.63383
659,-261.58,7.48025
664,-260.63,7.17653
669,-277.17,7.94491
674,-261.38,6.98814
679,-263.7,7.38585
684,-263.74,6.56315
689,-264.37,9.89976
694,-254.35,6.59492
699,-262.81,7.61668
704,-253.74,6.00277
709,-248.2,5.73909
714,-254.52,6.20514
719,-239.56,5.46811
724,-249.02,5.76867
729,-245.36,5.58963
734,-243.32,5.82048
739,-238.39,5.43473
744,-245.77,5.89345
749,-246.35,5.14293
754,-241.17,4.89314
759,-238.36,5.39621
764,-245.23,6.31061
769,-246.17,5.58942
774,-247.64,6.58284
779,-242.01,5.59375
784,-236.29,4.65098
789,-240.24,6.03338
794,-245.64,5.44722
799,-247.75,6.00596
804,-248.42,7.04098
809,-244.92,5.79257
814,-235.73,5.99476
819,-235.66,4.88726
824,-240.66,5.87004
829,-243.31,5.97548
834,-240.55,6.45912
839,-244.21,5.59793
844,-248.43,5.854
849,-245.18,5.38386
854,-245.97,5.6408
859,-235.4,5.49303
864,-244.73,4.9198
869,-245.24,6.22085
874,-236.91,5.46471
879,-239.15,5.41232
884,-251.88,6.12594
889,-234.86,5.16175
894,-251.32,6.18246
899,-240.69,4.86375
904,-237.71,5.28597
909,-250.29,7.12834
914,-240.46,5.67866
919,-251.84,6.01508
924,-255.68,7.29837
929,-242.69,6.1853
934,-233.33,5.02334
939,-240.09,5.51021
944,-250.27,6.15817
949,-241.6,5.80047
954,-245.31,6.31179
959,-243.79,5.81672
964,-247.01,6.73271
969,-253.33,7.17915
974,-256.34,7.36871
979,-248.27,6.32321
984,-243.59,7.11781
989,-267.61,7.31266
994,-246.64,6.83347
999,-259.7,6.51988
1004,-248.22,6.85419
1009,-256.36,8.70534
1014,-240.64,6.33776
1019,-245.16,6.11638
1024,-245.26,6.28493
1029,-257.15,6.4419
1034,-249.94,7.14302
1039,-258.54,7.02764
1044,-257.61,7.40795
1049,-253.81,7.16001
1054,-263.34,7.53844
1059,-256.44,6.44111
1064,-265.07,7.02347
1069,-252.34,6.188
1074,-250.34,6.982
1079,-257.96,7.46692
1084,-249.88,6.98546
1089,-255.8,7.10608
1094,-245.87,7.00001
1099,-259.06,7.06441
1104,-269.77,8.13465
1109,-267.54,7.86396
1114,-258.03,7.10701
1119,-259.67,7.80074
1124,-254.22,6.8649
1129,-252.73,6.41814
1134,-254.7,6.23314
1139,-256.72,7.51954
1144,-263.14,6.58609
1149,-257.76,7.28171
1154,-262.26,7.02654
1159,-255.6,7.12231
1164,-257.38,6.65142
1169,-239.87,6.06003
1174,-280.54,10.4056
1179,-270.6,7.02197
1184,-272.19,6.81883
1189,-273.83,6.8001
1194,-259.58,6.86929
1199,-266,8.07135
1204,-267.46,7.86193
1209,-269.28,7.57199
1214,-255.67,7.26531
1219,-271.23,8.29769
1224,-263.8,8.04192
1229,-250.87,7.04629
1234,-262.54,7.34819
1239,-254.51,6.57484
1244,-265.71,8.29806
1249,-275.83,7.96322
1254,-254.46,6.36801
1259,-267.29,6.82488
1264,-269.09,7.4705
1269,-287.34,9.54482
1274,-264.14,7.17925
1279,-269.96,9.49618
1284,-275.71,7.69393
1289,-283.59,8.19962
1294,-259.27,8.06391
1299,-265.71,7.45726
1304,-298.92,9.23025
1309,-258.46,7.22623
