Episode,Average Discounted Return,Standard Error
0,0.436521,0.167143
1,0.43983,0.22352
2,0.237632,0.126268
3,0.705473,0.177227
4,0.259715,0.131987
5,0.530163,0.290247
6,0.25992,0.234597
7,0.416032,0.185
8,0.492766,0.288766
9,0.195905,0.144686
10,0.367564,0.316438
11,0.0164399,0.015344
12,0.428673,0.168974
13,0.427477,0.297646
14,0.116226,0.116226
15,0.49683,0.263994
16,0.361767,0.274381
17,0.876333,0.0791209
18,0.486693,0.257032
19,0.0239299,0.0239299
20,0.273307,0.131611
21,0.162774,0.0843326
22,0.490085,0.263251
23,0.514193,0.244141
24,0.387633,0.307746
25,0.403402,0.298451
26,0.230891,0.0472726
27,0.695522,0.165587
28,0.49683,0.263994
29,0.27,0.27
30,0.492991,0.163109
31,0.281751,0.154249
32,0.605876,0.270197
33,0.581751,0.171078
34,0.0984606,0.0785198
35,0.524241,0.244931
36,0.243,0.243
37,0.243,0.243
38,0.427034,0.290975
39,0.23903,0.0226826
40,0.49683,0.263994
41,0.131192,0.0941678
42,0.275658,0.142818
43,0.395101,0.307144
44,0.633333,0.31798
45,0.603333,0.306612
46,0.271014,0.269494
47,0.629226,0.142209
48,0.636762,0.215515
49,0.822033,0.0994575
50,0.210369,0.106909
51,0.207131,0.191887
52,0.615028,0.241374
53,0.282946,0.130668
54,0.0782064,0.0464391
55,0.404604,0.263744
56,0.159432,0.159432
57,0.354729,0.23917
58,0.4374,0.2187
59,0.603333,0.306612
60,0.12914,0.12914
61,0.315161,0.120586
62,0.846333,0.0803126
63,0.0405256,0.0405256
64,0.146398,0.142057
65,0.394143,0.265744
66,0.281559,0.171008
67,0.249083,0.240016
68,0.515023,0.21246
69,0.620032,0.2364
70,0.470878,0.249923
71,0.116226,0.116226
72,0.0828572,0.0440268
73,0.298424,0.132043
74,0.51048,0.288865
75,0.288028,0.223908
76,0.579473,0.240155
77,0.27345,0.159815
78,0.633333,0.31798
79,0.579925,0.295132
80,0.719559,0.193382
81,0.549473,0.221266
82,0.0328257,0.0328257
83,0.273592,0.268222
84,0.201264,0.194651
85,0.197957,0.196269
86,0.395101,0.307144
87,0.255717,0.236897
88,0.428533,0.245869
89,0.333333,0.333333
90,0.576333,0.298597
91,0.0604029,0.0320956
92,0.177147,0.177147
93,0.332826,0.285008
94,0.33569,0.332161
95,0.686489,0.137199
96,0.364593,0.224109
97,0.561551,0.225053
98,0.116226,0.116226
99,0.298275,0.17979
100,0.581446,0.274785
101,0.299543,0.256508
102,0.0970525,0.0927228
103,0.268732,0.198472
104,0.5187,0.268737
105,0.19683,0.19683
106,0.234729,0.10468
107,0.330095,0.0395678
108,0.3,0.3
109,0.552033,0.293327
110,0.354294,0.177147
111,0.70314,0.29686
112,0.0174449,0.0174449
113,0.076256,0.076256
114,0.0969687,0.0458265
115,0.830163,0.123265
116,0.104604,0.104604
117,0.57,0.286182
118,0.0127173,0.0127173
119,0.34784,0.190431
120,0.298591,0.220524
121,0.177147,0.177147
122,0.480369,0.165921
123,0.707192,0.292808
124,0.264036,0.140297
125,0.118583,0.115066
126,0.116261,0.116209
127,0.252527,0.124262
128,0.530163,0.290247
129,0.381271,0.311507
130,0.492766,0.288766
131,0.159432,0.159432
132,0.0941432,0.0941432
133,0.036473,0.036473
134,0.116226,0.116226
135,0.104604,0.104604
136,0.606287,0.152628
137,0.333932,0.333034
138,0.451581,0.233427
139,0.37214,0.210583
140,0.117873,0.0737421
141,0.205396,0.112448
142,0.48362,0.203649
143,0.2344,0.211288
144,0.447605,0.280302
145,0.359922,0.320866
146,0.333333,0.333333
147,0.404951,0.297953
148,0.362189,0.192452
149,0,0
150,0.2187,0.2187
151,0.117479,0.115605
152,0.0686304,0.0686304
153,0,0
154,0.143489,0.143489
155,0.499704,0.252884
156,0.496206,0.273868
157,0.14561,0.14244
158,0.34784,0.190431
159,0.216213,0.18789
160,0.547202,0.229643
161,0.304767,0.218757
162,0.283526,0.225485
163,0.131927,0.109226
164,0.196322,0.141691
165,0.575192,0.249797
166,0.354222,0.322952
167,0.449559,0.293049
168,0.394143,0.265744
169,0.188286,0.0941432
170,0.369618,0.233197
171,0.476822,0.289604
172,0.333514,0.28328
173,1,0
174,0.0884163,0.048405
175,0.0265888,0.0265888
176,0.218367,0.186994
177,0.0761398,0.0652008
178,0.475452,0.126774
179,0.566071,0.241155
180,0.0847289,0.0847289
181,0.7374,0.0813
182,0,0
183,0.00750947,0.00750947
184,0.437937,0.295271
185,0.427477,0.297646
186,0.384729,0.267881
187,0.376256,0.270071
188,0.36863,0.272252
189,0.659303,0.180153
190,0.863497,0.136503
191,0.00443426,0.00443426
192,0.4887,0.248356
193,0.70731,0.147334
194,0.487432,0.168668
195,0.63863,0.217924
196,0.337324,0.331356
197,0.673652,0.169587
198,0.12914,0.12914
199,0.361767,0.274381
200,0.873333,0.0633333
201,0.192482,0.102277
202,0.41553,0.208627
203,0.282384,0.154102
204,0.3,0.3
205,0.436178,0.285173
206,0.333333,0.333333
207,0.345028,0.280212
208,0.283526,0.225485
209,0.377383,0.163892
210,0.426206,0.222823
211,0.404604,0.263744
212,0.347604,0.211121
213,0.0860753,0.0617835
214,0.143271,0.122687
215,0.22083,0.110873
216,0.51048,0.288865
217,0.0405256,0.0405256
218,0.0847289,0.0847289
219,0.116226,0.116226
220,0.0295431,0.0295431
221,0.0511111,0.0423162
222,0.39914,0.2339
223,0.424221,0.238157
224,0.577926,0.11654
225,0.665847,0.0805606
226,0.154635,0.0906178
227,0.388924,0.309308
228,0.306287,0.158687
229,0.32597,0.173207
230,0.414681,0.296638
231,0.539336,0.0652541
232,0.343634,0.328304
233,0.317445,0.291669
234,0.639806,0.270806
235,0.40352,0.158365
236,0.51048,0.288865
237,0.164672,0.0376264
238,0.540023,0.263125
239,0.0215369,0.0215369
240,0.552033,0.293327
241,0.333333,0.333333
242,0.593049,0.204841
243,0.361737,0.175668
244,0.356463,0.170793
245,0.401964,0.304868
246,0.57,0.286182
247,0.386226,0.234579
248,0.2187,0.2187
249,0.200245,0.115369
250,0.104604,0.104604
251,0.148963,0.140832
252,0.352424,0.034997
253,0.472505,0.267155
254,0.253301,0.238017
255,0.124382,0.0523761
256,0.329543,0.286374
257,0.476822,0.289604
258,0.296589,0.257736
259,0.0103011,0.0103011
260,0.57,0.286182
261,0.228063,0.138517
262,0.368639,0.0548288
263,0.773163,0.12026
264,0.156752,0.10218
265,0.324499,0.170664
266,0.250509,0.239334
267,0.533409,0.0324023
268,0.288572,0.146652
269,0.47052,0.0609209
270,0.472488,0.0698654
271,0.54,0.27
272,0.0555906,0.0555906
273,0.0328257,0.0328257
274,0.571127,0.285059
275,0.575658,0.166431
276,0.333899,0.118548
277,0.143489,0.143489
278,0.522175,0.22086
279,0.102487,0.090261
280,0.49683,0.263994
281,0.194872,0.100761
282,0.160194,0.090649
283,0.511732,0.182039
284,0.235522,0.1523
285,0.0833043,0.0543025
286,0.192258,0.145817
287,0.553526,0.217237
288,0.830163,0.123265
289,0.245937,0.116772
290,0.492766,0.288766
291,0.4374,0.2187
292,0.570966,0.218732
293,0.198747,0.0997854
294,0.591931,0.235184
295,0.57,0.286182
296,0.340843,0.329643
297,0.2187,0.2187
298,0.28413,0.263219
299,0.666667,0.333333
300,0.104604,0.104604
301,0.169458,0.0847289
302,0.301434,0.170572
303,0.282717,0.263871
304,0.51048,0.288865
305,0.252826,0.0875144
306,0.350042,0.325067
307,0.572921,0.119341
308,0.357277,0.180054
309,0.179172,0.11278
310,0.701964,0.249711
311,0.42914,0.260644
312,0.903333,0.0548736
313,0.552033,0.293327
314,0.792766,0.159862
315,0.576333,0.298597
316,0.305986,0.144319
317,0.131847,0.0683094
318,0.462473,0.291104
319,0.646389,0.190086
320,0.530163,0.290247
321,0.514193,0.244141
322,0.695522,0.165587
323,0.49683,0.263994
324,0.19683,0.19683
325,0.0366473,0.0207376
326,0.490085,0.263251
327,0.036473,0.036473
328,0.603333,0.306612
329,0.280467,0.195285
330,0.179765,0.175852
331,0.396969,0.213234
332,0.131192,0.0941678
333,0.280467,0.195285
334,0.625591,0.230876
335,0,0
336,0.3001,0.29995
337,0.467419,0.239797
338,0.373707,0.163918
339,0.355729,0.189789
340,0.437937,0.295271
341,0.237356,0.180021
342,0.0215369,0.0215369
343,0.198987,0.0884849
344,0,0
345,0.430985,0.18965
346,0.507537,0.221463
347,0.0847289,0.0847289
348,0.192015,0.120145
349,0.223419,0.184974
350,0.333333,0.333333
351,0.795807,0.204193
352,0.183906,0.173866
353,0.11568,0.0854355
354,0.492766,0.288766
355,0.476822,0.289604
356,0.346256,0.241093
357,0.3,0.3
358,0.748863,0.126989
359,0.603333,0.306612
360,0.0405256,0.0405256
361,0.4887,0.248356
362,0.51819,0.244406
363,0.505688,0.168345
364,0.876333,0.0791209
365,0.626706,0.19396
366,0.39914,0.2339
367,0.206238,0.116679
368,0.073197,0.0300087
369,0.610092,0.299965
370,0.327729,0.213633
371,0.51819,0.244406
372,0.452469,0.290823
373,0.0159499,0.0114486
374,0.643859,0.266839
375,0.145129,0.0913515
376,0.35487,0.323104
377,0.21944,0.218331
378,0.19683,0.19683
